date,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
27/11/2018,48.378,154.962,35,4.9,mb,,92,5.044,0.63,us,us1000hx1b,"269km SSW of Severo-Kuril'sk, Russia",earthquake,7.6,1.7,0.036,248,reviewed,us,us
26/11/2018,36.0733,139.783,48.82,4.8,mww,,113,1.359,1.13,us,us1000hwvf,"3km SSW of Sakai, Japan",earthquake,6,6.1,0.071,19,reviewed,us,us
26/11/2018,50.0727,156.142,66.34,4.6,mb,,128,3.191,0.62,us,us1000hwkm,"67km S of Severo-Kuril'sk, Russia",earthquake,9.7,7.8,0.045,151,reviewed,us,us
26/11/2018,38.8576,141.8384,50.56,4.5,mb,,145,1.286,0.84,us,us1000hwmi,"26km SSE of Ofunato, Japan",earthquake,8.4,9.5,0.156,12,reviewed,us,us
25/11/2018,33.95,134.4942,38.19,4.6,mb,,104,0.558,0.61,us,us1000hwig,"9km SW of Komatsushima, Japan",earthquake,3.4,10.1,0.132,17,reviewed,us,us
25/11/2018,48.4158,155.0325,35,4.6,mb,,85,4.993,0.77,us,us1000hwaf,"263km SSW of Severo-Kuril'sk, Russia",earthquake,6.6,1.8,0.058,90,reviewed,us,us
23/11/2018,37.1821,141.1721,46.76,5.2,mb,,140,0.75,0.8,us,us1000hvsm,"29km ENE of Iwaki, Japan",earthquake,7.2,6.2,0.064,81,reviewed,us,us
23/11/2018,29.3424,142.3121,10,4.7,mb,,130,2.241,0.76,us,us1000hvm0,"250km N of Chichi-shima, Japan",earthquake,9.4,1.9,0.09,37,reviewed,us,us
20/11/2018,30.4087,130.0687,123,5.5,mww,,30,2.794,0.89,us,us1000hujf,"96km WSW of Nishinoomote, Japan",earthquake,5.9,1.8,0.042,54,reviewed,us,us
20/11/2018,44.4524,148.0753,101.46,4.7,mww,,85,3.95,1.08,us,us1000hul5,"88km S of Kuril'sk, Russia",earthquake,7.7,2.1,0.103,9,reviewed,us,us
20/11/2018,42.0009,142.7654,73.55,4.5,mb,,114,0.292,0.61,us,us1000hx47,"49km SE of Shizunai, Japan",earthquake,9.4,8.5,0.27,5,reviewed,us,us
18/11/2018,30.7822,141.9762,10,4.8,mb,,124,2.964,0.81,us,us1000htd9,"Izu Islands, Japan region",earthquake,9,1.9,0.095,36,reviewed,us,us
18/11/2018,24.1937,125.2046,30.25,4.5,mwr,,76,2.019,1.14,us,us1000htrh,"67km S of Hirara, Japan",earthquake,8.3,5.1,0.06,27,reviewed,us,us
17/11/2018,25.3931,141.0321,115.25,4.8,mb,,108,1.986,1.03,us,us1000ht4f,"74km NNW of Iwo Jima, Japan",earthquake,6.2,7.3,0.097,33,reviewed,us,us
16/11/2018,26.3407,143.8582,36.24,4.8,mb,,139,1.675,0.93,us,us1000hspr,"182km ESE of Chichi-shima, Japan",earthquake,10.3,7.6,0.062,80,reviewed,us,us
16/11/2018,39.6014,141.937,49.23,4.5,mb,,137,1.361,0.69,us,us1000hsi3,"4km SSW of Miyako, Japan",earthquake,7.3,7.5,0.108,25,reviewed,us,us
14/11/2018,34.7663,139.9805,105.5,5,mb,,97,1.483,0.71,us,us1000hrh4,"26km SSE of Tateyama, Japan",earthquake,6.3,6.8,0.107,28,reviewed,us,us
14/11/2018,42.6765,141.9846,35,4.8,mb,,75,1.092,0.61,us,us1000hrjc,"31km E of Tomakomai, Japan",earthquake,5.5,1.9,0.04,193,reviewed,us,us
13/11/2018,45.2679,150.481,54.13,4.8,mb,,129,5.628,0.75,us,us1000hrde,"203km E of Kuril'sk, Russia",earthquake,10,5.7,0.059,89,reviewed,us,us
12/11/2018,42.9554,139.2679,8.66,4.5,mb,,94,2.546,0.62,us,us1000hude,"101km W of Iwanai, Japan",earthquake,7.1,3,0.086,40,reviewed,us,us
